seq,expert_bytes,tensor_base,expert_idx,tensor
439,4030464,0x0,201,blk.20.ffn_up_exps.weight
440,4030464,0x0,209,blk.20.ffn_up_exps.weight
441,4030464,0x0,25,blk.20.ffn_gate_exps.weight
442,4030464,0x0,78,blk.20.ffn_gate_exps.weight
443,4030464,0x0,91,blk.20.ffn_gate_exps.weight
446,4030464,0x0,198,blk.20.ffn_gate_exps.weight
447,4030464,0x0,201,blk.20.ffn_gate_exps.weight
448,4030464,0x0,209,blk.20.ffn_gate_exps.weight
449,4816896,0x0,25,blk.20.ffn_down_exps.weight
450,4816896,0x0,78,blk.20.ffn_down_exps.weight
451,4816896,0x0,91,blk.20.ffn_down_exps.weight
454,4816896,0x0,198,blk.20.ffn_down_exps.weight
455,4816896,0x0,201,blk.20.ffn_down_exps.weight
456,4816896,0x0,209,blk.20.ffn_down_exps.weight
458,4030464,0x0,60,blk.21.ffn_up_exps.weight
459,4030464,0x0,83,blk.21.ffn_up_exps.weight
460,4030464,0x0,95,blk.21.ffn_up_exps.weight
462,4030464,0x0,143,blk.21.ffn_up_exps.weight
463,4030464,0x0,147,blk.21.ffn_up_exps.weight
464,4030464,0x0,233,blk.21.ffn_up_exps.weight
466,4030464,0x0,60,blk.21.ffn_gate_exps.weight
467,4030464,0x0,83,blk.21.ffn_gate_exps.weight
468,4030464,0x0,95,blk.21.ffn_gate_exps.weight
470,4030464,0x0,143,blk.21.ffn_gate_exps.weight
471,4030464,0x0,147,blk.21.ffn_gate_exps.weight
472,4030464,0x0,233,blk.21.ffn_gate_exps.weight
474,4816896,0x0,60,blk.21.ffn_down_exps.weight
475,4816896,0x0,83,blk.21.ffn_down_exps.weight
476,4816896,0x0,95,blk.21.ffn_down_exps.weight
477,4816896,0x0,119,blk.21.ffn_down_exps.weight
478,4816896,0x0,143,blk.21.ffn_down_exps.weight
479,4816896,0x0,147,blk.21.ffn_down_exps.weight
480,4816896,0x0,233,blk.21.ffn_down_exps.weight
481,4030464,0x0,34,blk.22.ffn_up_exps.weight
482,4030464,0x0,48,blk.22.ffn_up_exps.weight
483,4030464,0x0,68,blk.22.ffn_up_exps.weight
484,4030464,0x0,166,blk.22.ffn_up_exps.weight
487,4030464,0x0,200,blk.22.ffn_up_exps.weight
488,4030464,0x0,221,blk.22.ffn_up_exps.weight
489,4030464,0x0,34,blk.22.ffn_gate_exps.weight
490,4030464,0x0,48,blk.22.ffn_gate_exps.weight
491,4030464,0x0,68,blk.22.ffn_gate_exps.weight
492,4030464,0x0,166,blk.22.ffn_gate_exps.weight
495,4030464,0x0,200,blk.22.ffn_gate_exps.weight
496,4030464,0x0,221,blk.22.ffn_gate_exps.weight
497,4816896,0x0,34,blk.22.ffn_down_exps.weight
498,4816896,0x0,48,blk.22.ffn_down_exps.weight
499,4816896,0x0,68,blk.22.ffn_down_exps.weight
500,4816896,0x0,166,blk.22.ffn_down_exps.weight
501,4816896,0x0,186,blk.22.ffn_down_exps.weight
503,4816896,0x0,200,blk.22.ffn_down_exps.weight
504,4816896,0x0,221,blk.22.ffn_down_exps.weight
505,4030464,0x0,12,blk.23.ffn_up_exps.weight
506,4030464,0x0,14,blk.23.ffn_up_exps.weight
508,4030464,0x0,119,blk.23.ffn_up_exps.weight
509,4030464,0x0,155,blk.23.ffn_up_exps.weight
510,4030464,0x0,203,blk.23.ffn_up_exps.weight
511,4030464,0x0,216,blk.23.ffn_up_exps.weight
512,4030464,0x0,222,blk.23.ffn_up_exps.weight
513,4030464,0x0,12,blk.23.ffn_gate_exps.weight
514,4030464,0x0,14,blk.23.ffn_gate_exps.weight
516,4030464,0x0,119,blk.23.ffn_gate_exps.weight
517,4030464,0x0,155,blk.23.ffn_gate_exps.weight
518,4030464,0x0,203,blk.23.ffn_gate_exps.weight
519,4030464,0x0,216,blk.23.ffn_gate_exps.weight
520,4030464,0x0,222,blk.23.ffn_gate_exps.weight
521,4816896,0x0,12,blk.23.ffn_down_exps.weight
522,4816896,0x0,14,blk.23.ffn_down_exps.weight
524,4816896,0x0,119,blk.23.ffn_down_exps.weight
525,4816896,0x0,155,blk.23.ffn_down_exps.weight
526,4816896,0x0,203,blk.23.ffn_down_exps.weight
527,4816896,0x0,216,blk.23.ffn_down_exps.weight
528,4816896,0x0,222,blk.23.ffn_down_exps.weight
