tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.31.ffn_up_exps.weight,226,115505395456,4456448,4096x2048x256,256,2.125000,7
blk.22.ffn_down_exps.weight,61,80257456384,4456448,2048x4096x256,256,2.121000,9
blk.10.ffn_down_exps.weight,42,37184005376,4456448,2048x4096x256,256,2.118000,7
blk.28.ffn_up_exps.weight,219,104737665792,4456448,4096x2048x256,256,2.118000,9
blk.34.ffn_down_exps.weight,22,123072433408,4456448,2048x4096x256,256,2.118000,5
blk.9.ffn_down_exps.weight,95,33827138816,4456448,2048x4096x256,256,2.115000,4
blk.0.ffn_up_exps.weight,77,3797048064,4456448,4096x2048x256,256,2.114000,7
blk.4.ffn_down_exps.weight,72,15823309568,4456448,2048x4096x256,256,2.113000,9
blk.15.ffn_up_exps.weight,52,57411602176,4456448,4096x2048x256,256,2.112000,8
blk.9.ffn_up_exps.weight,151,36358401280,4456448,4096x2048x256,256,2.112000,1
blk.21.ffn_down_exps.weight,30,76526248192,4456448,2048x4096x256,256,2.111000,6
blk.35.ffn_down_exps.weight,148,127205683968,4456448,2048x4096x256,256,2.109000,11
blk.18.ffn_down_exps.weight,90,66057100544,4456448,2048x4096x256,256,2.108000,4
blk.1.ffn_up_exps.weight,13,7078022400,4456448,4096x2048x256,256,2.107000,1
blk.2.ffn_up_exps.weight,145,11262433536,4456448,4096x2048x256,256,2.105000,3
blk.1.ffn_down_exps.weight,118,5264248064,4456448,2048x4096x256,256,2.103000,2
blk.22.ffn_up_exps.weight,61,82539157760,4456448,4096x2048x256,256,2.100000,9
blk.29.ffn_down_exps.weight,251,106170308864,4456448,2048x4096x256,256,2.100000,3
blk.1.ffn_up_exps.weight,141,7648447744,4456448,4096x2048x256,256,2.099000,7
blk.1.ffn_up_exps.weight,217,7987137792,4456448,4096x2048x256,256,2.099000,7
blk.1.ffn_up_exps.weight,58,7278562560,4456448,4096x2048x256,256,2.099000,7
blk.1.ffn_down_exps.weight,1,4742843648,4456448,2048x4096x256,256,2.094000,2
blk.11.ffn_up_exps.weight,89,43246897920,4456448,4096x2048x256,256,2.094000,9
blk.22.ffn_up_exps.weight,78,82614917376,4456448,4096x2048x256,256,2.093000,8
blk.1.ffn_down_exps.weight,231,5767826688,4456448,2048x4096x256,256,2.092000,3
blk.25.ffn_up_exps.weight,85,93382647040,4456448,4096x2048x256,256,2.091000,3
blk.4.ffn_up_exps.weight,72,18105010944,4456448,4096x2048x256,256,2.090000,9
blk.10.ffn_up_exps.weight,72,39599400192,4456448,4096x2048x256,256,2.089000,4
blk.36.ffn_up_exps.weight,123,132969032448,4456448,4096x2048x256,256,2.089000,3
blk.17.ffn_down_exps.weight,128,62633387264,4456448,2048x4096x256,256,2.087000,9
blk.22.ffn_up_exps.weight,136,82873391360,4456448,4096x2048x256,256,2.087000,15
blk.30.ffn_down_exps.weight,234,109687607552,4456448,2048x4096x256,256,2.087000,11
blk.2.ffn_up_exps.weight,195,11485255936,4456448,4096x2048x256,256,2.086000,5
blk.21.ffn_up_exps.weight,111,79168921856,4456448,4096x2048x256,256,2.082000,7
blk.7.ffn_down_exps.weight,17,26314739456,4456448,2048x4096x256,256,2.081000,10
blk.4.ffn_down_exps.weight,34,15653964544,4456448,2048x4096x256,256,2.078000,8
blk.1.ffn_down_exps.weight,35,4894362880,4456448,2048x4096x256,256,2.076000,2
blk.12.ffn_down_exps.weight,189,45003899648,4456448,2048x4096x256,256,2.076000,8
blk.26.ffn_down_exps.weight,188,95153018112,4456448,2048x4096x256,256,2.076000,5
blk.37.ffn_down_exps.weight,102,134165483776,4456448,2048x4096x256,256,2.071000,9
blk.25.ffn_down_exps.weight,85,91100945664,4456448,2048x4096x256,256,2.070000,3
