tensor	expert	fallback_ms	calls	expert_bytes
blk.19.ffn_down_exps.weight	24	8.388	5	4456448
blk.22.ffn_up_exps.weight	13	8.383	24	4456448
blk.35.ffn_up_exps.weight	101	8.380	6	4456448
blk.34.ffn_down_exps.weight	11	8.370	11	4456448
blk.18.ffn_up_exps.weight	75	8.348	11	4456448
blk.12.ffn_up_exps.weight	120	8.344	14	4456448
blk.1.ffn_up_exps.weight	247	8.339	5	4456448
blk.0.ffn_up_exps.weight	126	8.338	4	4456448
blk.5.ffn_down_exps.weight	226	8.329	10	4456448
blk.2.ffn_up_exps.weight	50	8.322	5	4456448
blk.25.ffn_down_exps.weight	61	8.309	38	4456448
blk.9.ffn_up_exps.weight	235	8.305	5	4456448
blk.8.ffn_up_exps.weight	53	8.269	12	4456448
blk.37.ffn_up_exps.weight	11	8.268	15	4456448
blk.15.ffn_down_exps.weight	74	8.267	11	4456448
blk.14.ffn_up_exps.weight	126	8.263	35	4456448
blk.34.ffn_down_exps.weight	70	8.240	8	4456448
blk.15.ffn_up_exps.weight	29	8.218	14	4456448
blk.18.ffn_down_exps.weight	26	8.212	29	4456448
blk.5.ffn_down_exps.weight	253	8.210	15	4456448
blk.20.ffn_up_exps.weight	224	8.204	2	4456448
blk.10.ffn_up_exps.weight	78	8.202	15	4456448
blk.13.ffn_up_exps.weight	176	8.195	8	4456448
blk.10.ffn_down_exps.weight	74	8.194	6	4456448
blk.35.ffn_up_exps.weight	7	8.146	26	4456448
blk.37.ffn_up_exps.weight	147	8.135	21	4456448
blk.11.ffn_up_exps.weight	81	8.109	37	4456448
blk.1.ffn_up_exps.weight	171	8.102	7	4456448
blk.0.ffn_up_exps.weight	95	8.099	3	4456448
blk.19.ffn_up_exps.weight	211	8.091	13	4456448
blk.21.ffn_up_exps.weight	71	8.083	1	4456448
blk.10.ffn_down_exps.weight	40	8.078	23	4456448
blk.35.ffn_up_exps.weight	166	8.020	3	4456448
blk.1.ffn_up_exps.weight	25	8.014	9	4456448
blk.15.ffn_down_exps.weight	144	8.001	31	4456448
blk.10.ffn_up_exps.weight	168	7.995	2	4456448
blk.5.ffn_up_exps.weight	94	7.993	14	4456448
blk.14.ffn_up_exps.weight	232	7.955	19	4456448
blk.28.ffn_up_exps.weight	41	7.952	32	4456448
blk.20.ffn_up_exps.weight	48	7.937	3	4456448
blk.2.ffn_up_exps.weight	125	7.912	19	4456448
blk.35.ffn_down_exps.weight	177	7.900	7	4456448
blk.31.ffn_down_exps.weight	187	7.894	18	4456448
