layer,kind,top_k,calls,actual_events,actual_gib,byte_recall,precision,predicted_to_actual_byte_ratio,false_to_actual_byte_ratio,extra_to_actual_byte_ratio
31,upgate,16,976,7808,37.529296875,0.24308401639344263,0.12154200819672131,2.0,1.7569159836065573,1.0
32,down,8,488,3904,22.9345703125,0.1091188524590164,0.1091188524590164,1.0,0.8908811475409836,0.0
32,down,10,488,3904,22.9345703125,0.14626024590163936,0.11700819672131148,1.25,1.1037397540983607,0.25
32,down,12,488,3904,22.9345703125,0.16470286885245902,0.10980191256830601,1.5,1.335297131147541,0.5
32,down,16,488,3904,22.9345703125,0.21311475409836064,0.10655737704918032,2.0,1.7868852459016393,1.0
32,upgate,8,976,7808,37.529296875,0.1091188524590164,0.1091188524590164,1.0,0.8908811475409836,0.0
32,upgate,10,976,7808,37.529296875,0.14626024590163936,0.11700819672131148,1.25,1.1037397540983607,0.25
32,upgate,12,976,7808,37.529296875,0.16470286885245902,0.10980191256830601,1.5,1.335297131147541,0.5
32,upgate,16,976,7808,37.529296875,0.21311475409836064,0.10655737704918032,2.0,1.7868852459016393,1.0
33,down,8,488,3904,22.9345703125,0.0940061475409836,0.0940061475409836,1.0,0.9059938524590164,0.0
33,down,10,488,3904,22.9345703125,0.1170594262295082,0.09364754098360656,1.25,1.1329405737704918,0.25
33,down,12,488,3904,22.9345703125,0.13780737704918034,0.09187158469945356,1.5,1.3621926229508197,0.5
33,down,16,488,3904,22.9345703125,0.1716188524590164,0.0858094262295082,2.0,1.8283811475409837,1.0
33,upgate,8,976,7808,37.529296875,0.0940061475409836,0.0940061475409836,1.0,0.9059938524590164,0.0
33,upgate,10,976,7808,37.529296875,0.1170594262295082,0.09364754098360656,1.25,1.1329405737704918,0.25
33,upgate,12,976,7808,37.529296875,0.13780737704918034,0.09187158469945356,1.5,1.3621926229508197,0.5
33,upgate,16,976,7808,37.529296875,0.1716188524590164,0.0858094262295082,2.0,1.8283811475409837,1.0
34,down,8,488,3904,22.9345703125,0.1173155737704918,0.1173155737704918,1.0,0.8826844262295082,0.0
34,down,10,488,3904,22.9345703125,0.14600409836065573,0.1168032786885246,1.25,1.1039959016393444,0.25
34,down,12,488,3904,22.9345703125,0.1716188524590164,0.11441256830601093,1.5,1.3283811475409837,0.5
34,down,16,488,3904,22.9345703125,0.21004098360655737,0.10502049180327869,2.0,1.7899590163934427,1.0
34,upgate,8,976,7808,37.529296875,0.1173155737704918,0.1173155737704918,1.0,0.8826844262295082,0.0
34,upgate,10,976,7808,37.529296875,0.14600409836065573,0.1168032786885246,1.25,1.1039959016393444,0.25
34,upgate,12,976,7808,37.529296875,0.1716188524590164,0.11441256830601093,1.5,1.3283811475409837,0.5
34,upgate,16,976,7808,37.529296875,0.21004098360655737,0.10502049180327869,2.0,1.7899590163934427,1.0
35,down,8,488,3904,22.9345703125,0.1252561475409836,0.1252561475409836,1.0,0.8747438524590164,0.0
35,down,10,488,3904,22.9345703125,0.14190573770491804,0.11352459016393443,1.25,1.108094262295082,0.25
35,down,12,488,3904,22.9345703125,0.1864754098360656,0.12431693989071038,1.5,1.3135245901639345,0.5
35,down,16,488,3904,22.9345703125,0.22464139344262296,0.11232069672131148,2.0,1.775358606557377,1.0
35,upgate,8,976,7808,37.529296875,0.1252561475409836,0.1252561475409836,1.0,0.8747438524590164,0.0
35,upgate,10,976,7808,37.529296875,0.14190573770491804,0.11352459016393443,1.25,1.108094262295082,0.25
35,upgate,12,976,7808,37.529296875,0.1864754098360656,0.12431693989071038,1.5,1.3135245901639345,0.5
35,upgate,16,976,7808,37.529296875,0.22464139344262296,0.11232069672131148,2.0,1.775358606557377,1.0
36,down,8,488,3904,22.9345703125,0.09861680327868852,0.09861680327868852,1.0,0.9013831967213115,0.0
36,down,10,488,3904,22.9345703125,0.12986680327868852,0.10389344262295082,1.25,1.1201331967213115,0.25
36,down,12,488,3904,22.9345703125,0.17341188524590165,0.11560792349726776,1.5,1.3265881147540983,0.5
36,down,16,488,3904,22.9345703125,0.22336065573770492,0.11168032786885246,2.0,1.776639344262295,1.0
36,upgate,8,976,7808,37.529296875,0.09861680327868852,0.09861680327868852,1.0,0.9013831967213115,0.0
