depth,mode,kind,layer,tensor,calls,transitions,actual_events,covered_events,actual_bytes,covered_bytes,false_bytes,event_coverage,byte_coverage,false_prefetch_ratio,net_byte_multiplier,exact_repeat_rate,avg_jaccard
1,decode,up,5,blk.5.ffn_up_exps.weight,31,30,240,34,1348730880,191070208,1157660672,0.14166666666666666,0.14166666666666666,0.8583333333333333,1.8583333333333334,0.0,0.08053724053724057
1,decode,gate,5,blk.5.ffn_gate_exps.weight,31,30,240,34,1348730880,191070208,1157660672,0.14166666666666666,0.14166666666666666,0.8583333333333333,1.8583333333333334,0.0,0.08053724053724057
1,decode,down,5,blk.5.ffn_down_exps.weight,31,30,240,34,1513881600,214466560,1299415040,0.14166666666666666,0.14166666666666666,0.8583333333333333,1.8583333333333334,0.0,0.08053724053724057
1,decode,up,6,blk.6.ffn_up_exps.weight,31,30,240,65,1348730880,365281280,983449600,0.2708333333333333,0.2708333333333333,0.7291666666666666,1.7291666666666667,0.0,0.17359751359751366
1,decode,gate,6,blk.6.ffn_gate_exps.weight,31,30,240,65,1348730880,365281280,983449600,0.2708333333333333,0.2708333333333333,0.7291666666666666,1.7291666666666667,0.0,0.17359751359751366
1,decode,up,7,blk.7.ffn_up_exps.weight,31,30,240,65,1348730880,365281280,983449600,0.2708333333333333,0.2708333333333333,0.7291666666666666,1.7291666666666667,0.0,0.1690709290709291
1,decode,gate,7,blk.7.ffn_gate_exps.weight,31,30,240,65,1128529920,305643520,822886400,0.2708333333333333,0.2708333333333333,0.7291666666666666,1.7291666666666667,0.0,0.1690709290709291
1,decode,up,8,blk.8.ffn_up_exps.weight,31,30,240,80,1348730880,449576960,899153920,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.21087579087579095
1,decode,gate,8,blk.8.ffn_gate_exps.weight,31,30,240,80,1128529920,376176640,752353280,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.21087579087579095
1,decode,up,9,blk.9.ffn_up_exps.weight,31,30,240,73,1348730880,410238976,938491904,0.30416666666666664,0.30416666666666664,0.6958333333333333,1.6958333333333333,0.0,0.19145077145077147
1,decode,gate,9,blk.9.ffn_gate_exps.weight,31,30,240,73,1128529920,343261184,785268736,0.30416666666666664,0.30416666666666664,0.6958333333333333,1.6958333333333333,0.0,0.19145077145077147
1,decode,up,10,blk.10.ffn_up_exps.weight,31,30,240,60,1128529920,282132480,846397440,0.25,0.25,0.75,1.75,0.0,0.15511599511599514
1,decode,gate,10,blk.10.ffn_gate_exps.weight,31,30,240,60,1128529920,282132480,846397440,0.25,0.25,0.75,1.75,0.0,0.15511599511599514
1,decode,up,11,blk.11.ffn_up_exps.weight,31,30,240,86,1128529920,404389888,724140032,0.35833333333333334,0.35833333333333334,0.6416666666666667,1.6416666666666666,0.0,0.23356199356199356
1,decode,gate,11,blk.11.ffn_gate_exps.weight,31,30,240,86,1128529920,404389888,724140032,0.35833333333333334,0.35833333333333334,0.6416666666666667,1.6416666666666666,0.0,0.23356199356199356
1,decode,down,11,blk.11.ffn_down_exps.weight,31,30,240,86,1513881600,542474240,971407360,0.35833333333333334,0.35833333333333334,0.6416666666666667,1.6416666666666666,0.0,0.23356199356199356
1,decode,up,12,blk.12.ffn_up_exps.weight,31,30,240,77,1128529920,362070016,766459904,0.32083333333333336,0.32083333333333336,0.6791666666666667,1.6791666666666667,0.0,0.2054212454212454
1,decode,gate,12,blk.12.ffn_gate_exps.weight,31,30,240,77,1128529920,362070016,766459904,0.32083333333333336,0.32083333333333336,0.6791666666666667,1.6791666666666667,0.0,0.2054212454212454
1,decode,down,12,blk.12.ffn_down_exps.weight,31,30,240,77,1513881600,485703680,1028177920,0.32083333333333336,0.32083333333333336,0.6791666666666667,1.6791666666666667,0.0,0.2054212454212454
