seq,layer,row,rank,expert_idx,weight,sort_score,logit,bias,topk_tensor,weights_tensor
153,4,2,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
154,4,2,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
155,4,2,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
156,4,2,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
157,4,2,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
158,4,2,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
159,4,2,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
160,4,2,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
161,4,3,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
162,4,3,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
163,4,3,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
164,4,3,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
165,4,3,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
166,4,3,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
167,4,3,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
168,4,3,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
169,4,4,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
170,4,4,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
171,4,4,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
172,4,4,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
173,4,4,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
174,4,4,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
175,4,4,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
176,4,4,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
177,4,5,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
178,4,5,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
179,4,5,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
180,4,5,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
181,4,5,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
182,4,5,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
183,4,5,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
184,4,5,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
185,4,6,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
186,4,6,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
187,4,6,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
188,4,6,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
189,4,6,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
190,4,6,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
191,4,6,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
192,4,6,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
193,4,7,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
194,4,7,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
195,4,7,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
196,4,7,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
197,4,7,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
198,4,7,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
199,4,7,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
200,4,7,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
201,4,8,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
202,4,8,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
203,4,8,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
204,4,8,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
205,4,8,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
206,4,8,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
207,4,8,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
208,4,8,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
209,4,9,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
210,4,9,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
211,4,9,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
212,4,9,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
213,4,9,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
214,4,9,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
215,4,9,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
216,4,9,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
217,4,10,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
218,4,10,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
219,4,10,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
220,4,10,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
221,4,10,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
222,4,10,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
223,4,10,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
224,4,10,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
225,4,11,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
226,4,11,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
227,4,11,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
228,4,11,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
229,4,11,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
230,4,11,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
231,4,11,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
232,4,11,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
233,4,12,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
234,4,12,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
235,4,12,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
236,4,12,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
237,4,12,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
238,4,12,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
239,4,12,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
240,4,12,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
241,4,13,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
242,4,13,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
243,4,13,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
244,4,13,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
245,4,13,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
246,4,13,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
247,4,13,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
248,4,13,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
249,4,14,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
250,4,14,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
251,4,14,2,2,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
252,4,14,3,3,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
253,4,14,4,4,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
254,4,14,5,5,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
255,4,14,6,6,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
256,4,14,7,7,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
257,4,15,0,0,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
258,4,15,1,1,0.5,0.5,0,0,ffn_moe_topk-4,ffn_moe_weights-4
