scope,key,threshold,rows,skip_block_ratio,skip_value_ratio,mean_l2_abs,mean_l2_rel,max_l2_rel,max_abs_err,mean_abs_err,mean_exact_l2
layer_expert,11:138:blk.11.ffn_down_exps.weight,0.1,4,0.9375,0.9375,0.761738137,0.766728903,1.0,0.0567468656,0.0071663348925,1.0555073504999999
layer_expert,11:139:blk.11.ffn_down_exps.weight,0.1,2,0.953125,0.953125,1.0019728445,0.95823691,0.979834901,0.0518210656,0.009409337194999999,1.0430344925
layer_expert,11:141:blk.11.ffn_down_exps.weight,0.1,1,0.9375,0.9375,0.853410812,0.936063215,0.936063215,0.0417019241,0.00803863094,0.911702114
layer_expert,11:145:blk.11.ffn_down_exps.weight,0.1,4,0.7109375,0.7109375,0.92815669525,0.650710747,0.730214488,0.0483177546,0.0087562908025,1.4223357650000001
layer_expert,11:146:blk.11.ffn_down_exps.weight,0.1,2,1.0,1.0,0.4670436015,1.0,1.0,0.0303132739,0.004407219025,0.4670436015
layer_expert,11:149:blk.11.ffn_down_exps.weight,0.1,21,0.9270833333333334,0.9270833333333334,0.7277154445714286,0.908265414857143,1.0,0.0511466041,0.0068494103214285715,0.840058955952381
layer_expert,11:14:blk.11.ffn_down_exps.weight,0.1,2,0.859375,0.859375,0.86374379,0.745951701,1.0,0.0431594066,0.008145930860000001,1.302178349
layer_expert,11:150:blk.11.ffn_down_exps.weight,0.1,3,0.90625,0.90625,0.6271197276666666,0.7932725866666667,0.901778918,0.0292141382,0.00593657594,0.7974909186666667
layer_expert,11:152:blk.11.ffn_down_exps.weight,0.1,3,1.0,1.0,0.7183100736666667,1.0,1.0,0.0468839742,0.006803339063333333,0.7183100736666667
layer_expert,11:153:blk.11.ffn_down_exps.weight,0.1,1,1.0,1.0,0.483146811,1.0,1.0,0.0211117472,0.0045217547,0.483146811
layer_expert,11:158:blk.11.ffn_down_exps.weight,0.1,2,0.984375,0.984375,0.6960613865,0.973787144,1.0,0.0404828195,0.006560559225,0.716829811
layer_expert,11:159:blk.11.ffn_down_exps.weight,0.1,1,0.9375,0.9375,0.703124516,0.821663555,0.821663555,0.0337151447,0.00660804862,0.855732875
layer_expert,11:15:blk.11.ffn_down_exps.weight,0.1,11,0.8806818181818182,0.8806818181818182,0.9336957363636362,0.8722772937272727,1.0,0.0506061018,0.008793301310909092,1.1168808191818185
layer_expert,11:161:blk.11.ffn_down_exps.weight,0.1,1,0.875,0.875,0.947567629,0.866366468,0.866366468,0.0453333557,0.00894421575,1.09372611
