call,seq_id,pos,n_tokens,n_seq_tokens,source_layer,target_layer,kind,topk,ne0,ne1,record_us,values
3,0,20,1,1,49,50,pred,4,4,1,1181,287|221|274|243
3,0,20,1,1,49,49,actual,8,8,1,1181,102|32|216|49|3|358|285|357
3,0,20,1,1,50,51,pred,4,4,1,1181,262|318|258|365
3,0,20,1,1,50,50,actual,8,8,1,1181,287|221|243|274|53|80|110|9
3,0,20,1,1,51,52,pred,4,4,1,1181,178|245|89|169
3,0,20,1,1,51,51,actual,8,8,1,1181,262|318|239|258|365|150|105|331
3,0,20,1,1,52,53,pred,4,4,1,1181,157|132|222|325
3,0,20,1,1,52,52,actual,8,8,1,1181,178|245|209|169|76|176|330|183
3,0,20,1,1,53,54,pred,4,4,1,1181,245|169|85|312
3,0,20,1,1,53,53,actual,8,8,1,1181,157|132|222|78|325|261|177|237
3,0,20,1,1,54,55,pred,4,4,1,1181,196|14|304|53
3,0,20,1,1,54,54,actual,8,8,1,1181,245|169|85|312|230|254|326|46
3,0,20,1,1,55,56,pred,4,4,1,1181,202|159|11|80
3,0,20,1,1,55,55,actual,8,8,1,1181,196|14|304|156|231|164|208|53
3,0,20,1,1,56,57,pred,4,4,1,1181,46|328|192|381
3,0,20,1,1,56,56,actual,8,8,1,1181,202|159|11|322|12|379|35|23
3,0,20,1,1,57,58,pred,4,4,1,1181,320|204|193|26
3,0,20,1,1,57,57,actual,8,8,1,1181,46|381|328|206|192|199|286|164
3,0,20,1,1,58,59,pred,4,4,1,1181,330|206|322|71
3,0,20,1,1,58,58,actual,8,8,1,1181,320|204|221|193|135|216|266|11
3,0,20,1,1,59,60,pred,4,4,1,1181,141|266|135|161
3,0,20,1,1,59,59,actual,8,8,1,1181,330|206|71|68|322|306|10|53
3,0,20,1,1,60,60,actual,8,8,1,1181,141|266|13|227|251|149|172|44
4,0,21,1,1,1,2,pred,4,4,1,963,285|246|376|303
4,0,21,1,1,1,1,actual,8,8,1,963,116|121|271|23|147|5|41|26
4,0,21,1,1,2,3,pred,4,4,1,963,234|266|241|290
4,0,21,1,1,2,2,actual,8,8,1,963,246|285|200|303|322|369|3|326
4,0,21,1,1,3,4,pred,4,4,1,963,9|228|246|171
4,0,21,1,1,3,3,actual,8,8,1,963,241|234|266|244|25|290|143|63
4,0,21,1,1,4,5,pred,4,4,1,963,15|259|97|355
4,0,21,1,1,4,4,actual,8,8,1,963,9|228|187|79|26|81|53|246
